pm10,pm25,co,no2,so2,o3,time
11.0,7.0,0.3,0.018,0.003,0.013,2.0
11.0,7.0,0.3,0.018,0.003,0.018,1.0
10.0,6.0,0.3,0.017,0.003,0.017,24.0
11.0,9.0,0.3,0.017,0.003,0.016,23.0
12.0,7.0,0.3,0.018,0.003,0.015,22.0
11.0,9.0,0.4,0.027,0.003,0.015,21.0
11.0,7.0,0.3,0.026,0.003,0.016,20.0
14.0,8.0,0.4,0.023,0.003,0.02,19.0
7.0,2.0,0.3,0.014,0.003,0.029,18.0
7.0,7.0,0.2,0.009,0.003,0.03,17.0
9.0,3.0,0.2,0.008,0.003,0.028,16.0
24.0,14.0,0.2,0.008,0.003,0.024,15.0
23.0,15.0,0.3,0.016,0.003,0.046,14.0
19.0,15.0,0.4,0.018,0.003,0.047,13.0
17.0,11.0,0.3,0.014,0.003,0.044,12.0
20.0,17.0,0.3,0.015,0.003,0.03,11.0
20.0,14.0,0.3,0.014,0.003,0.025,10.0
20.0,13.0,0.3,0.018,0.003,0.017,9.0
17.0,12.0,0.3,0.016,0.003,0.016,8.0
19.0,16.0,0.3,0.017,0.002,0.013,7.0
18.0,15.0,0.3,0.01,0.003,0.021,6.0
20.0,16.0,0.2,0.007,0.003,0.029,5.0
19.0,15.0,0.2,0.007,0.003,0.026,4.0
20.0,16.0,0.2,0.006,0.003,0.03,3.0
19.0,15.0,0.2,0.006,0.003,0.035,2.0
17.0,16.0,0.2,0.007,0.003,0.029,1.0
16.0,13.0,0.2,0.007,0.003,0.028,24.0
18.0,13.0,0.2,0.01,0.003,0.021,23.0
16.0,13.0,0.3,0.01,0.003,0.021,22.0
19.0,16.0,0.3,0.011,0.003,0.024,21.0
22.0,18.0,0.3,0.013,0.004,0.032,20.0
27.0,21.0,0.3,0.016,0.004,0.047,19.0
30.0,25.0,0.3,0.016,0.005,0.063,18.0
30.0,24.0,0.3,0.015,0.005,0.072,17.0
28.0,23.0,0.3,0.018,0.004,0.068,16.0
27.0,22.0,0.3,0.016,0.004,0.074,15.0
22.0,18.0,0.4,0.016,0.003,0.061,14.0
20.0,12.0,0.3,0.013,0.004,0.052,13.0
19.0,15.0,0.3,0.012,0.004,0.041,12.0
23.0,18.0,0.3,0.015,0.004,0.029,11.0
18.0,12.0,0.4,0.017,0.003,0.02,10.0
22.0,16.0,0.4,0.019,0.003,0.014,9.0
21.0,14.0,0.3,0.017,0.003,0.011,8.0
22.0,18.0,0.3,0.015,0.003,0.009,7.0
22.0,15.0,0.3,0.014,0.003,0.009,6.0
19.0,15.0,0.3,0.012,0.003,0.011,5.0
19.0,15.0,0.3,0.012,0.003,0.011,4.0
20.0,15.0,0.3,0.011,0.003,0.013,3.0
19.0,14.0,0.3,0.014,0.003,0.012,2.0
20.0,16.0,0.3,0.014,0.003,0.013,1.0
20.0,16.0,0.3,0.015,0.003,0.013,24.0
21.0,17.0,0.3,0.02,0.003,0.011,23.0
24.0,17.0,0.3,0.021,0.003,0.012,22.0
25.0,18.0,0.3,0.023,0.004,0.015,21.0
22.0,17.0,0.3,0.021,0.003,0.023,20.0
23.0,15.0,0.3,0.016,0.004,0.03,19.0
25.0,17.0,0.3,0.014,0.004,0.041,18.0
27.0,18.0,0.3,0.013,0.003,0.047,17.0
26.0,19.0,0.3,0.011,0.004,0.051,16.0
28.0,23.0,0.3,0.011,0.004,0.058,15.0
22.0,16.0,0.3,0.011,0.003,0.061,14.0
19.0,15.0,0.3,0.011,0.003,0.058,13.0
20.0,15.0,0.3,0.012,0.004,0.046,12.0
24.0,14.0,0.3,0.013,0.003,0.034,11.0
18.0,11.0,0.3,0.01,0.004,0.027,10.0
15.0,10.0,0.4,0.016,0.004,0.016,9.0
22.0,13.0,0.4,0.024,0.004,0.006,8.0
24.0,15.0,0.4,0.022,0.003,0.003,7.0
22.0,14.0,0.4,0.023,0.003,0.003,6.0
24.0,14.0,0.4,0.024,0.003,0.003,5.0
22.0,14.0,0.4,0.025,0.003,0.004,4.0
19.0,15.0,0.4,0.029,0.003,0.003,3.0
12.0,9.0,0.3,0.019,0.003,0.012,2.0
11.0,9.0,0.3,0.016,0.003,0.019,1.0
13.0,10.0,0.3,0.017,0.003,0.019,24.0
15.0,12.0,0.3,0.018,0.004,0.02,23.0
16.0,12.0,0.3,0.019,0.003,0.022,22.0
16.0,11.0,0.4,0.02,0.004,0.024,21.0
17.0,13.0,0.4,0.023,0.003,0.023,20.0
21.0,16.0,0.3,0.016,0.003,0.048,19.0
14.0,11.0,0.3,0.014,0.003,0.048,18.0
19.0,16.0,0.3,0.012,0.003,0.044,17.0
21.0,16.0,0.3,0.017,0.003,0.059,16.0
21.0,15.0,0.3,0.012,0.003,0.061,15.0
20.0,16.0,0.3,0.016,0.003,0.041,14.0
16.0,12.0,0.3,0.016,0.003,0.04,13.0
16.0,11.0,0.3,0.016,0.003,0.034,12.0
19.0,13.0,0.4,0.021,0.003,0.027,11.0
